ICD10Code,trad_icd_count,BFA_icd_count,trad_%,BFA_%
G83.4,30,11,1.23926357361066e-10,1.0065747573166556e-10
H81.10,172,25,7.105111155367785e-10,2.2876699029923994e-10
M79.604,2367,1336,9.777789595788108e-09,1.2225307961591381e-08
Z96.652,60,78,2.47852714722132e-10,7.137530097336286e-10
M79.10,4702,597,1.9423391077057747e-08,5.46295572834585e-09
M25.511,27021,12318,1.1162047007511216e-07,1.127180714602415e-07
F43.89,203,44,8.385683514765467e-10,4.0262990292666226e-10
G89.18,143,670,5.907156367544146e-10,6.13095534001963e-09
Z73.3,1771,654,7.315785962881596e-09,5.984544466228116e-09
G43.001,132,222,5.452759723886904e-10,2.0314508738572507e-09
G64.,614,351,2.536359447323151e-09,3.2118885438013286e-09
D23.9,1,3,4.1308785787022006e-12,2.7452038835908793e-11
Z59.2,0,1,0.0,9.150679611969598e-12
R68.84,1014,417,4.188710878804031e-09,3.815833398191322e-09
G90.09,6506,1406,2.6875496033036515e-08,1.2865855534429253e-08
M25.562,15427,8731,6.372706383363884e-08,7.989458369210656e-08
J43.9,9,8,3.7177907208319803e-11,7.320543689575678e-11
M22.41,61,39,2.519835933008342e-10,3.568765048668143e-10
I63.9,473,123,1.9539055677261407e-09,1.1255335922722604e-09
G44.1,47,126,1.941512931990034e-10,1.1529856311081693e-09
M75.82,5,5,2.0654392893511e-11,4.5753398059847985e-11
G43.919,650,386,2.6850710761564304e-09,3.5321623302202643e-09
M50.123,581,156,2.4000404542259785e-09,1.4275060194672572e-09
M54.51,29792,10863,1.2306713461669595e-07,9.940383262482573e-08
Z13.31,41,7,1.693660217267902e-10,6.405475728378719e-11
M50.121,211,79,8.716153801061643e-10,7.229036893455981e-10
S61.209A,0,1,0.0,9.150679611969598e-12
C50.919,42,7,1.7349690030549242e-10,6.405475728378719e-11
Z71.9,525,5199,2.1687112538186553e-09,4.7574383302629936e-08
M60.9,293,15,1.2103474235597446e-09,1.3726019417954397e-10
M25.552,9912,5609,4.094526847209621e-08,5.132616194353747e-08
M75.02,233,67,9.624947088376127e-10,6.13095534001963e-10
